1	0.00801979	0.4;-0.2;	0.4;-0.2;	0	0.5175
2	0.0091995	0.4;-0.2;	0.4;-0.2;	-0.1983	0.51875
3	0.00581055	0.4;-0.2;	0.4;-0.2;	-0.367132	0.932357
4	0.00901454	0.4;-0.2;	0.4;-0.2;	-0.504743	1.28439
5	0.00186516	0.4;-0.2;	0.4;-0.2;	-0.627475	1.57335
6	0.00918425	0.4;-0.2;	0.4;-0.2;	-0.72355	1.83183
7	0.000316686	0.4;-0.2;	0.4;-0.2;	-0.813649	2.03491
8	0.00980989	0.4;-0.2;	0.4;-0.2;	-0.880281	2.22523
9	0.00357193	0.4;-0.2;	0.4;-0.2;	-0.943018	2.36647
10	0.00934187	0.4;-0.2;	0.4;-0.2;	-0.99035	2.49923
11	0.000410903	0.4;-0.2;	0.4;-0.2;	-1.03944	2.59963
12	0.00376214	0.4;-0.2;	0.4;-0.2;	-1.07757	2.70333
13	-0.00990576	0.4;-0.2;	0.4;-0.2;	-1.12351	2.78402
14	0.00479111	0.4;-0.2;	0.4;-0.2;	-1.14748	2.88068
15	0.00319675	0.4;-0.2;	0.4;-0.2;	-1.16947	2.93168
16	-0.0077281	0.4;-0.2;	0.4;-0.2;	-1.19912	2.97848
17	-0.00380056	0.4;-0.2;	0.4;-0.2;	-1.22014	3.04084
18	-0.00171887	0.4;-0.2;	0.4;-0.2;	-1.2358	3.0852
19	-0.00513452	0.4;-0.2;	0.4;-0.2;	-1.25252	3.11845
20	-0.00367599	0.4;-0.2;	0.4;-0.2;	-1.47218	3.67126
21	-0.00368637	0.4;-0.2;	0.4;-0.2;	-1.65481	4.12782
22	-0.000176392	0.4;-0.2;	0.4;-0.2;	-1.8044	4.51055
23	0.00661532	0.4;-0.2;	0.4;-0.2;	-1.92364	4.82564
24	-0.00330022	0.4;-0.2;	0.4;-0.2;	-2.03441	5.07777
25	0.00919398	0.4;-0.2;	0.4;-0.2;	-2.11553	5.31181
26	-0.000833144	0.4;-0.2;	0.4;-0.2;	-2.19437	5.48385
27	0.00902404	0.4;-0.2;	0.4;-0.2;	-2.25122	5.65062
28	-0.00843258	0.4;-0.2;	0.4;-0.2;	-2.31695	5.7713
29	0.000717517	0.4;-0.2;	0.4;-0.2;	-2.36325	5.90992
30	0.00278991	0.4;-0.2;	0.4;-0.2;	-2.40039	6.00794
31	-0.00733045	0.4;-0.2;	0.4;-0.2;	-2.44205	6.08679
32	-0.0073353	0.4;-0.2;	0.4;-0.2;	-2.4772	6.17467
33	0.00512972	0.4;-0.2;	0.4;-0.2;	-2.49441	6.24884
34	-0.00289715	0.4;-0.2;	0.4;-0.2;	-2.51719	6.28574
35	-0.00491055	0.4;-0.2;	0.4;-0.2;	-2.53851	6.334
36	-0.00929464	0.4;-0.2;	0.4;-0.2;	-2.56087	6.37895
37	-0.00998699	0.4;-0.2;	0.4;-0.2;	-2.58038	6.42599
38	0.00816216	0.4;-0.2;	0.4;-0.2;	-2.57867	6.46707
39	0.00722974	0.4;-0.2;	0.4;-0.2;	-2.57845	6.46419
40	0.00232997	0.4;-0.2;	0.4;-0.2;	-2.58337	6.46426
41	-0.00350359	0.4;-0.2;	0.4;-0.2;	-2.59338	6.4747
42	-0.00588332	0.4;-0.2;	0.4;-0.2;	-2.60411	6.49556
43	-0.00959734	0.4;-0.2;	0.4;-0.2;	-2.61677	6.51793
44	0.00670466	0.4;-0.2;	0.4;-0.2;	-2.61105	6.54438
45	0.00881072	0.4;-0.2;	0.4;-0.2;	-2.60432	6.53283
46	0.00736126	0.4;-0.2;	0.4;-0.2;	-2.6003	6.51915
47	0.000497449	0.4;-0.2;	0.4;-0.2;	-2.60384	6.51085
48	0.00647305	0.4;-0.2;	0.4;-0.2;	-2.60077	6.51812
49	-0.00833298	0.4;-0.2;	0.4;-0.2;	-2.61301	6.5117
50	0.0079916	0.4;-0.2;	0.4;-0.2;	-2.60682	6.53703
51	0.00409624	0.4;-0.2;	0.4;-0.2;	-2.6056	6.52424
52	-0.00482339	0.4;-0.2;	0.4;-0.2;	-2.61355	6.52182
